"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D74","3.2X1.6X1.1","210.42mm","226.254mm","210.42mm","226.254mm","208.6699mm","226.254mm","T","360.00","LED2"
"D73","3.2X1.6X1.1","196.92mm","226.254mm","196.92mm","226.254mm","195.17mm","226.254mm","T","360.00","LED2"
"D72","3.2X1.6X1.1","183.42mm","226.254mm","183.42mm","226.254mm","181.6699mm","226.254mm","T","360.00","LED2"
"D71","3.2X1.6X1.1","169.92mm","226.254mm","169.92mm","226.254mm","168.17mm","226.254mm","T","360.00","LED2"
"D70","3.2X1.6X1.1","156.42mm","226.254mm","156.42mm","226.254mm","154.67mm","226.254mm","T","360.00","LED2"
"D69","3.2X1.6X1.1","142.92mm","226.254mm","142.92mm","226.254mm","141.17mm","226.254mm","T","360.00","LED2"
"D68","3.2X1.6X1.1","129.42mm","226.254mm","129.42mm","226.254mm","127.67mm","226.254mm","T","360.00","LED2"
"D67","3.2X1.6X1.1","115.92mm","226.254mm","115.92mm","226.254mm","114.17mm","226.254mm","T","360.00","LED2"
"D66","3.2X1.6X1.1","102.42mm","226.254mm","102.42mm","226.254mm","100.67mm","226.254mm","T","360.00","LED2"
"D65","3.2X1.6X1.1","88.92mm","226.254mm","88.92mm","226.254mm","87.17mm","226.254mm","T","360.00","LED2"
"D64","3.2X1.6X1.1","291.42mm","236.254mm","291.42mm","236.254mm","289.67mm","236.254mm","T","360.00","LED2"
"D63","3.2X1.6X1.1","277.92mm","236.2539mm","277.92mm","236.2539mm","276.17mm","236.2539mm","T","360.00","LED2"
"D62","3.2X1.6X1.1","264.42mm","236.2539mm","264.42mm","236.2539mm","262.67mm","236.2539mm","T","360.00","LED2"
"D61","3.2X1.6X1.1","250.92mm","236.2539mm","250.92mm","236.2539mm","249.17mm","236.2539mm","T","360.00","LED2"
"D60","3.2X1.6X1.1","237.42mm","236.2539mm","237.42mm","236.2539mm","235.67mm","236.2539mm","T","360.00","LED2"
"D59","3.2X1.6X1.1","223.92mm","236.2539mm","223.92mm","236.2539mm","222.1699mm","236.2539mm","T","360.00","LED2"
"D58","3.2X1.6X1.1","210.42mm","236.2539mm","210.42mm","236.2539mm","208.6699mm","236.2539mm","T","360.00","LED2"
